"region_name","value","year","measure","measure_type","region_type","geoid"
"Williamsburg",66.6666666666667,2021,"mrfei","index","civic association","51013_va013cc_williamsburg"
"Old Dominion",75,2021,"mrfei","index","civic association","51013_va013cc_old_dominion"
"Maywood",60,2021,"mrfei","index","civic association","51013_va013cc_maywood"
"Lyon Park",16,2021,"mrfei","index","civic association","51013_va013cc_lyon_park"
"Dominion Hills",30.4347826086957,2021,"mrfei","index","civic association","51013_va013cc_dominion_hills"
"Alcova Heights",35.7142857142857,2021,"mrfei","index","civic association","51013_va013cc_alcova_heights"
"Columbia Heights",50,2021,"mrfei","index","civic association","51013_va013cc_columbia_heights"
"Arlington View",23.0769230769231,2021,"mrfei","index","civic association","51013_va013cc_arlington_view"
"Leeway Overlee",90,2021,"mrfei","index","civic association","51013_va013cc_leeway_overlee"
"Clarendon - Courthouse",22.7272727272727,2021,"mrfei","index","civic association","51013_va013cc_clarendon_courthouse"
"Bluemont",17.8571428571429,2021,"mrfei","index","civic association","51013_va013cc_bluemont"
"Madison Manor",33.3333333333333,2021,"mrfei","index","civic association","51013_va013cc_madison_manor"
"Arlington Heights",28.5714285714286,2021,"mrfei","index","civic association","51013_va013cc_arlington_heights"
"Yorktown",77.7777777777778,2021,"mrfei","index","civic association","51013_va013cc_yorktown"
"Westover Village",75,2021,"mrfei","index","civic association","51013_va013cc_westover_village"
"Arlington - East Falls Church",30.7692307692308,2021,"mrfei","index","civic association","51013_va013cc_arlington_east_falls_church"
"Lyon Village",24,2021,"mrfei","index","civic association","51013_va013cc_lyon_village"
"Rock Spring",33.3333333333333,2021,"mrfei","index","civic association","51013_va013cc_rock_spring"
"Colonial Village",16.6666666666667,2021,"mrfei","index","civic association","51013_va013cc_colonial_village"
"North Highlands",20,2021,"mrfei","index","civic association","51013_va013cc_north_highlands"
"Highland Park - Overlee Knolls",80,2021,"mrfei","index","civic association","51013_va013cc_highland_park_overlee_knolls"
"Ashton Heights",13.8888888888889,2021,"mrfei","index","civic association","51013_va013cc_ashton_heights"
"Boulevard Manor",23.8095238095238,2021,"mrfei","index","civic association","51013_va013cc_boulevard_manor"
"Claremont",33.3333333333333,2021,"mrfei","index","civic association","51013_va013cc_claremont"
"Forest Glen",20,2021,"mrfei","index","civic association","51013_va013cc_forest_glen"
"Penrose",41.6666666666667,2021,"mrfei","index","civic association","51013_va013cc_penrose"
"Glencarlyn",23.5294117647059,2021,"mrfei","index","civic association","51013_va013cc_glencarlyn"
"Radnor/Ft.Myer Heights",20,2021,"mrfei","index","civic association","51013_va013cc_radnor/ft.myer_heights"
"North Rosslyn",13.6363636363636,2021,"mrfei","index","civic association","51013_va013cc_north_rosslyn"
"Arlington Forest",17.3913043478261,2021,"mrfei","index","civic association","51013_va013cc_arlington_forest"
"Buckingham",7.40740740740741,2021,"mrfei","index","civic association","51013_va013cc_buckingham"
"Foxcroft Heights",10.5263157894737,2021,"mrfei","index","civic association","51013_va013cc_foxcroft_heights"
"Arlingwood",0,2021,"mrfei","index","civic association","51013_va013cc_arlingwood"
"John M Langston",77.7777777777778,2021,"mrfei","index","civic association","51013_va013cc_john_m_langston"
"Aurora Highlands",17.9487179487179,2021,"mrfei","index","civic association","51013_va013cc_aurora_highlands"
"Arlington Ridge",25.7142857142857,2021,"mrfei","index","civic association","51013_va013cc_arlington_ridge"
"Long Branch Creek",55.5555555555556,2021,"mrfei","index","civic association","51013_va013cc_long_branch_creek"
"Crystal City",7.69230769230769,2021,"mrfei","index","civic association","51013_va013cc_crystal_city"
"Chain Bridge Forest, Bridge, Forest",0,2021,"mrfei","index","civic association","51013_va013cc_chain_bridge_forest"
"Stafford-Albemarle-Glebe",0,2021,"mrfei","index","civic association","51013_va013cc_staffordalbemarleglebe"
"Old Glebe",0,2021,"mrfei","index","civic association","51013_va013cc_old_glebe"
"Gulf Branch",0,2021,"mrfei","index","civic association","51013_va013cc_gulf_branch"
"Rivercrest",0,2021,"mrfei","index","civic association","51013_va013cc_rivercrest"
"Bellevue Forest",0,2021,"mrfei","index","civic association","51013_va013cc_bellevue_forest"
"Ballston - Virginia Square",21.6216216216216,2021,"mrfei","index","civic association","51013_va013cc_ballston_virginia_square"
"Cherrydale",25,2021,"mrfei","index","civic association","51013_va013cc_cherrydale"
"Waycroft - Woodlawn",16.6666666666667,2021,"mrfei","index","civic association","51013_va013cc_waycroft_woodlawn"
"Arlington Mill",33.3333333333333,2021,"mrfei","index","civic association","51013_va013cc_arlington_mill"
"Donaldson Run",50,2021,"mrfei","index","civic association","51013_va013cc_donaldson_run"
"Cherry Valley Nature Area",66.6666666666667,2021,"mrfei","index","civic association","51013_va013cc_cherry_valley_nature_area"
"Fairlington",33.3333333333333,2021,"mrfei","index","civic association","51013_va013cc_fairlington"
"Glebewood",83.3333333333333,2021,"mrfei","index","civic association","51013_va013cc_glebewood"
"Dover Crystal",66.6666666666667,2021,"mrfei","index","civic association","51013_va013cc_dover_crystal"
"Riverwood",0,2021,"mrfei","index","civic association","51013_va013cc_riverwood"
"Woodmont",60,2021,"mrfei","index","civic association","51013_va013cc_woodmont"
"Tara - Leeway Heights",81.8181818181818,2021,"mrfei","index","civic association","51013_va013cc_tara_leeway_heights"
"Waverly Hills",44.4444444444444,2021,"mrfei","index","civic association","51013_va013cc_waverly_hills"
"Green Valley",40,2021,"mrfei","index","civic association","51013_va013cc_green_valley"
"Barcroft",25,2021,"mrfei","index","civic association","51013_va013cc_barcroft"
"Columbia Forest",40,2021,"mrfei","index","civic association","51013_va013cc_columbia_forest"
"Shirlington",33.3333333333333,2021,"mrfei","index","civic association","51013_va013cc_shirlington"
"Douglas Park",46.1538461538462,2021,"mrfei","index","civic association","51013_va013cc_douglas_park"
"Census Tract 1006",20,2021,"mrfei","index","tract","51013100600"
"Census Tract 1014.02",7.69230769230769,2021,"mrfei","index","tract","51013101402"
"Census Tract 1032",50,2021,"mrfei","index","tract","51013103200"
"Census Tract 1028.02",33.3333333333333,2021,"mrfei","index","tract","51013102802"
"Census Tract 1023.02",31.25,2021,"mrfei","index","tract","51013102302"
"Census Tract 1011",37.037037037037,2021,"mrfei","index","tract","51013101100"
"Census Tract 1027.01",33.3333333333333,2021,"mrfei","index","tract","51013102701"
"Census Tract 1026",55.5555555555556,2021,"mrfei","index","tract","51013102600"
"Census Tract 1015",17.5,2021,"mrfei","index","tract","51013101500"
"Census Tract 1037",25,2021,"mrfei","index","tract","51013103700"
"Census Tract 1018.03",16.6666666666667,2021,"mrfei","index","tract","51013101803"
"Census Tract 1020.02",9.67741935483871,2021,"mrfei","index","tract","51013102002"
"Census Tract 1036.02",10.3448275862069,2021,"mrfei","index","tract","51013103602"
"Census Tract 1029.02",33.3333333333333,2021,"mrfei","index","tract","51013102902"
"Census Tract 1012",29.1666666666667,2021,"mrfei","index","tract","51013101200"
"Census Tract 1036.01",12.9032258064516,2021,"mrfei","index","tract","51013103601"
"Census Tract 1020.01",7.14285714285714,2021,"mrfei","index","tract","51013102001"
"Census Tract 1024",33.3333333333333,2021,"mrfei","index","tract","51013102400"
"Census Tract 1014.01",9.52380952380952,2021,"mrfei","index","tract","51013101401"
"Census Tract 1016.03",13.0434782608696,2021,"mrfei","index","tract","51013101603"
"Census Tract 1014.03",10,2021,"mrfei","index","tract","51013101403"
"Census Tract 1027.02",0,2021,"mrfei","index","tract","51013102702"
"Census Tract 1005",69.2307692307692,2021,"mrfei","index","tract","51013100500"
"Census Tract 1013",17.8571428571429,2021,"mrfei","index","tract","51013101300"
"Census Tract 1038",55.5555555555556,2021,"mrfei","index","tract","51013103800"
"Census Tract 1023.01",25,2021,"mrfei","index","tract","51013102301"
"Census Tract 1001",40,2021,"mrfei","index","tract","51013100100"
"Census Tract 1002",70,2021,"mrfei","index","tract","51013100200"
"Census Tract 1030",33.3333333333333,2021,"mrfei","index","tract","51013103000"
"Census Tract 1014.04",11.7647058823529,2021,"mrfei","index","tract","51013101404"
"Census Tract 1018.01",23.5294117647059,2021,"mrfei","index","tract","51013101801"
"Census Tract 1031",33.3333333333333,2021,"mrfei","index","tract","51013103100"
"Census Tract 1028.01",43.75,2021,"mrfei","index","tract","51013102801"
"Census Tract 1018.02",26.6666666666667,2021,"mrfei","index","tract","51013101802"
"Census Tract 1017.03",13.6363636363636,2021,"mrfei","index","tract","51013101703"
"Census Tract 1007",46.6666666666667,2021,"mrfei","index","tract","51013100700"
"Census Tract 1021",23.5294117647059,2021,"mrfei","index","tract","51013102100"
"Census Tract 1004",60,2021,"mrfei","index","tract","51013100400"
"Census Tract 1029.01",33.3333333333333,2021,"mrfei","index","tract","51013102901"
"Census Tract 1020.03",7.69230769230769,2021,"mrfei","index","tract","51013102003"
"Census Tract 1035.02",6.89655172413793,2021,"mrfei","index","tract","51013103502"
"Census Tract 1019",13.8888888888889,2021,"mrfei","index","tract","51013101900"
"Census Tract 1025",18.5185185185185,2021,"mrfei","index","tract","51013102500"
"Census Tract 1035.03",6.45161290322581,2021,"mrfei","index","tract","51013103503"
"Census Tract 1016.01",12.5,2021,"mrfei","index","tract","51013101601"
"Census Tract 1033",23.5294117647059,2021,"mrfei","index","tract","51013103300"
"Census Tract 1034.01",33.3333333333333,2021,"mrfei","index","tract","51013103401"
"Census Tract 1017.01",27.7777777777778,2021,"mrfei","index","tract","51013101701"
"Census Tract 1034.02",12.7272727272727,2021,"mrfei","index","tract","51013103402"
"Census Tract 1008",77.7777777777778,2021,"mrfei","index","tract","51013100800"
"Census Tract 1016.02",23.5294117647059,2021,"mrfei","index","tract","51013101602"
"Census Tract 1022",35.7142857142857,2021,"mrfei","index","tract","51013102200"
"Census Tract 9801",11.5384615384615,2021,"mrfei","index","tract","51013980100"
"Census Tract 1003",50,2021,"mrfei","index","tract","51013100300"
"Census Tract 9802",10.5263157894737,2021,"mrfei","index","tract","51013980200"
"Census Tract 1017.02",13.6363636363636,2021,"mrfei","index","tract","51013101702"
"Census Tract 1035.01",10,2021,"mrfei","index","tract","51013103501"
"Census Tract 1009",71.4285714285714,2021,"mrfei","index","tract","51013100900"
"Census Tract 1010",80,2021,"mrfei","index","tract","51013101000"
