"","geoid","region_type","region_name","year","measure","value","measure_type"
"1",51013,"county","Arlington County, Virginia",2019,"prevent_hosp_rate",3001,"rate per 100K"
"2",51153,"county","Prince William County, Virginia",2016,"prevent_hosp_rate",4307,"rate per 100K"
"3",51600,"county","Fairfax City, Virginia",2021,"prevent_hosp_rate",2610,"rate per 100K"
"4",51510,"county","Alexandria City, Virginia",2019,"prevent_hosp_rate",5185,"rate per 100K"
"5",51600,"county","Fairfax City, Virginia",2020,"prevent_hosp_rate",2980,"rate per 100K"
"6",51013,"county","Arlington County, Virginia",2015,"prevent_hosp_rate",3291,"rate per 100K"
"7",51059,"county","Fairfax County, Virginia",2020,"prevent_hosp_rate",3008,"rate per 100K"
"8",51153,"county","Prince William County, Virginia",2021,"prevent_hosp_rate",4709,"rate per 100K"
"9",51685,"county","Manassas Park City, Virginia",2018,"prevent_hosp_rate",3120,"rate per 100K"
"10",51685,"county","Manassas Park City, Virginia",2016,"prevent_hosp_rate",4080,"rate per 100K"
"11",51610,"county","Falls Church City, Virginia",2016,"prevent_hosp_rate",2098,"rate per 100K"
"12",51107,"county","Loudoun County, Virginia",2016,"prevent_hosp_rate",4673,"rate per 100K"
"13",51013,"county","Arlington County, Virginia",2021,"prevent_hosp_rate",2804,"rate per 100K"
"14",51610,"county","Falls Church City, Virginia",2017,"prevent_hosp_rate",2122,"rate per 100K"
"15",51153,"county","Prince William County, Virginia",2015,"prevent_hosp_rate",4898,"rate per 100K"
"16",51107,"county","Loudoun County, Virginia",2018,"prevent_hosp_rate",4210,"rate per 100K"
"17",51510,"county","Alexandria City, Virginia",2017,"prevent_hosp_rate",4238,"rate per 100K"
"18",51683,"county","Manassas City, Virginia",2017,"prevent_hosp_rate",3598,"rate per 100K"
"19",51683,"county","Manassas City, Virginia",2019,"prevent_hosp_rate",3715,"rate per 100K"
"20",51600,"county","Fairfax City, Virginia",2019,"prevent_hosp_rate",3285,"rate per 100K"
"21",51059,"county","Fairfax County, Virginia",2019,"prevent_hosp_rate",3271,"rate per 100K"
"22",51059,"county","Fairfax County, Virginia",2017,"prevent_hosp_rate",3030,"rate per 100K"
"23",51683,"county","Manassas City, Virginia",2016,"prevent_hosp_rate",NA,"rate per 100K"
"24",51610,"county","Falls Church City, Virginia",2015,"prevent_hosp_rate",3436,"rate per 100K"
"25",51600,"county","Fairfax City, Virginia",2018,"prevent_hosp_rate",3357,"rate per 100K"
"26",51107,"county","Loudoun County, Virginia",2019,"prevent_hosp_rate",4625,"rate per 100K"
"27",51059,"county","Fairfax County, Virginia",2015,"prevent_hosp_rate",3714,"rate per 100K"
