"geoid","year","region_name","region_type","measure","value","measure_type","measure_units"
51013,2020,"Arlington County, Virginia","county","3sfca_capacity",0.417272526,"index",NA
51059,2020,"Fairfax County, Virginia","county","3sfca_capacity",0.570193423,"index",NA
51107,2020,"Loudoun County, Virginia","county","3sfca_capacity",0.0248941,"index",NA
51153,2020,"Prince William County, Virginia","county","3sfca_capacity",0.0248941,"index",NA
51510,2020,"Alexandria City, Virginia","county","3sfca_capacity",0.417272526,"index",NA
51600,2020,"Fairfax City, Virginia","county","3sfca_capacity",0.417272526,"index",NA
51610,2020,"Falls Church City, Virginia","county","3sfca_capacity",0.417272526,"index",NA
51683,2020,"Manassas City, Virginia","county","3sfca_capacity",0.0248941,"index",NA
51685,2020,"Manassas Park City, Virginia","county","3sfca_capacity",0.0248941,"index",NA
51013,2020,"Arlington County, Virginia","county","2sfca30_capacity",0.000208494,"index",NA
51059,2020,"Fairfax County, Virginia","county","2sfca30_capacity",0.000306608,"index",NA
51107,2020,"Loudoun County, Virginia","county","2sfca30_capacity",0,"index",NA
51153,2020,"Prince William County, Virginia","county","2sfca30_capacity",0,"index",NA
51510,2020,"Alexandria City, Virginia","county","2sfca30_capacity",0.000208494,"index",NA
51600,2020,"Fairfax City, Virginia","county","2sfca30_capacity",0.000208494,"index",NA
51610,2020,"Falls Church City, Virginia","county","2sfca30_capacity",0.000208494,"index",NA
51683,2020,"Manassas City, Virginia","county","2sfca30_capacity",0,"index",NA
51685,2020,"Manassas Park City, Virginia","county","2sfca30_capacity",0,"index",NA
51013,2020,"Arlington County, Virginia","county","norm_3sfca",3.56086689,"normalized index",NA
51059,2020,"Fairfax County, Virginia","county","norm_3sfca",4.865843677,"normalized index",NA
51107,2020,"Loudoun County, Virginia","county","norm_3sfca",0.212438082,"normalized index",NA
51153,2020,"Prince William County, Virginia","county","norm_3sfca",0.212438082,"normalized index",NA
51510,2020,"Alexandria City, Virginia","county","norm_3sfca",3.56086689,"normalized index",NA
51600,2020,"Fairfax City, Virginia","county","norm_3sfca",3.56086689,"normalized index",NA
51610,2020,"Falls Church City, Virginia","county","norm_3sfca",3.56086689,"normalized index",NA
51683,2020,"Manassas City, Virginia","county","norm_3sfca",0.212438082,"normalized index",NA
51685,2020,"Manassas Park City, Virginia","county","norm_3sfca",0.212438082,"normalized index",NA
51013,2020,"Arlington County, Virginia","county","norm_2sfca",2.766781312,"normalized index",NA
51059,2020,"Fairfax County, Virginia","county","norm_2sfca",4.068796047,"normalized index",NA
51107,2020,"Loudoun County, Virginia","county","norm_2sfca",0,"normalized index",NA
51153,2020,"Prince William County, Virginia","county","norm_2sfca",0,"normalized index",NA
51510,2020,"Alexandria City, Virginia","county","norm_2sfca",2.766781312,"normalized index",NA
51600,2020,"Fairfax City, Virginia","county","norm_2sfca",2.766781312,"normalized index",NA
51610,2020,"Falls Church City, Virginia","county","norm_2sfca",2.766781312,"normalized index",NA
51683,2020,"Manassas City, Virginia","county","norm_2sfca",0,"normalized index",NA
51685,2020,"Manassas Park City, Virginia","county","norm_2sfca",0,"normalized index",NA
51013,2020,"Arlington County, Virginia","county","program_capacity",NA,"count","number of graduates"
51059,2020,"Fairfax County, Virginia","county","program_capacity",352,"count","number of graduates"
51107,2020,"Loudoun County, Virginia","county","program_capacity",NA,"count","number of graduates"
51153,2020,"Prince William County, Virginia","county","program_capacity",NA,"count","number of graduates"
51510,2020,"Alexandria City, Virginia","county","program_capacity",NA,"count","number of graduates"
51600,2020,"Fairfax City, Virginia","county","program_capacity",NA,"count","number of graduates"
51610,2020,"Falls Church City, Virginia","county","program_capacity",NA,"count","number of graduates"
51683,2020,"Manassas City, Virginia","county","program_capacity",NA,"count","number of graduates"
51685,2020,"Manassas Park City, Virginia","county","program_capacity",NA,"count","number of graduates"
51013100100,2020,"Census Tract 1001, Arlington County, Virginia","tract","3sfca_capacity",0.648054951,"index",NA
51013100200,2020,"Census Tract 1002, Arlington County, Virginia","tract","3sfca_capacity",0.648054951,"index",NA
51013100300,2020,"Census Tract 1003, Arlington County, Virginia","tract","3sfca_capacity",0.34704079,"index",NA
51013100400,2020,"Census Tract 1004, Arlington County, Virginia","tract","3sfca_capacity",0.34704079,"index",NA
51013100500,2020,"Census Tract 1005, Arlington County, Virginia","tract","3sfca_capacity",0.34704079,"index",NA
51013100600,2020,"Census Tract 1006, Arlington County, Virginia","tract","3sfca_capacity",0.34704079,"index",NA
51013100700,2020,"Census Tract 1007, Arlington County, Virginia","tract","3sfca_capacity",0.34704079,"index",NA
51013100800,2020,"Census Tract 1008, Arlington County, Virginia","tract","3sfca_capacity",0.648054951,"index",NA
51013100900,2020,"Census Tract 1009, Arlington County, Virginia","tract","3sfca_capacity",0.648054951,"index",NA
51013101000,2020,"Census Tract 1010, Arlington County, Virginia","tract","3sfca_capacity",0.648054951,"index",NA
