"","geoid","region_type","region_name","year","measure","value","measure_type"
"1",51013102801,"tract","Census Tract 1028.01, Arlington County, Virginia",2021,"median_drive_time_top5",23.8,"median"
"2",51059421400,"tract","Census Tract 4214, Fairfax County, Virginia",2021,"median_drive_time_top5",33,"median"
"3",51107611004,"tract","Census Tract 6110.04, Loudoun County, Virginia",2021,"median_drive_time_top10",59.25,"median"
"4",51013103601,"tract","Census Tract 1036.01, Arlington County, Virginia",2021,"mean_drive_time_top5",31.2,"mean"
"5",51683,"county","Manassas city, Virginia",2021,"median_drive_time_top5",37.3,"median"
"6",51610500200,"tract","Census Tract 5002, Falls Church city, Virginia",2021,"mean_drive_time_top10",60.06,"mean"
"7",51510201500,"tract","Census Tract 2015, Alexandria city, Virginia",2021,"mean_drive_time_top10",66.72,"mean"
"8",51059461000,"tract","Census Tract 4610, Fairfax County, Virginia",2021,"median_drive_time_top10",52.4,"median"
"9",51059461901,"tract","Census Tract 4619.01, Fairfax County, Virginia",2021,"median_drive_time_top5",17.2,"median"
"10",51153900802,"tract","Census Tract 9008.02, Prince William County, Virginia",2021,"mean_drive_time_top5",44.76,"mean"
"11",51059422201,"tract","Census Tract 4222.01, Fairfax County, Virginia",2021,"median_drive_time_top10",53.05,"median"
"12",51153901408,"tract","Census Tract 9014.08, Prince William County, Virginia",2021,"mean_drive_time_top5",24.3,"mean"
"13",51013102200,"tract","Census Tract 1022, Arlington County, Virginia",2021,"median_drive_time_top10",56.45,"median"
"14",51059422202,"tract","Census Tract 4222.02, Fairfax County, Virginia",2021,"median_drive_time_top5",33.9,"median"
"15",51059452802,"tract","Census Tract 4528.02, Fairfax County, Virginia",2021,"mean_drive_time_top10",61.42,"mean"
"16",51059430700,"tract","Census Tract 4307, Fairfax County, Virginia",2021,"mean_drive_time_top10",59.24,"mean"
"17",51107611900,"tract","Census Tract 6119, Loudoun County, Virginia",2021,"mean_drive_time_top10",71.69,"mean"
"18",51013102702,"tract","Census Tract 1027.02, Arlington County, Virginia",2021,"mean_drive_time_top10",64.17,"mean"
"19",51510201202,"tract","Census Tract 2012.02, Alexandria city, Virginia",2021,"median_drive_time_top5",29.1,"median"
"20",51059440201,"tract","Census Tract 4402.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",16.7,"mean"
"21",51059491201,"tract","Census Tract 4912.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",58.1,"mean"
"22",51059451501,"tract","Census Tract 4515.01, Fairfax County, Virginia",2021,"median_drive_time_top10",55.4,"median"
"23",51013102003,"tract","Census Tract 1020.03, Arlington County, Virginia",2021,"mean_drive_time_top10",62.24,"mean"
"24",51059481600,"tract","Census Tract 4816, Fairfax County, Virginia",2021,"median_drive_time_top10",51.65,"median"
"25",51107611018,"tract","Census Tract 6110.18, Loudoun County, Virginia",2021,"median_drive_time_top10",60.75,"median"
"26",51013103100,"tract","Census Tract 1031, Arlington County, Virginia",2021,"mean_drive_time_top5",28.1,"mean"
"27",51059491202,"tract","Census Tract 4912.02, Fairfax County, Virginia",2021,"mean_drive_time_top10",54.89,"mean"
"28",51059430600,"tract","Census Tract 4306, Fairfax County, Virginia",2021,"median_drive_time_top10",49.65,"median"
"29",51683910202,"tract","Census Tract 9102.02, Manassas city, Virginia",2021,"median_drive_time_top5",35.4,"median"
"30",51013101702,"tract","Census Tract 1017.02, Arlington County, Virginia",2021,"median_drive_time_top5",22.8,"median"
"31",51153901010,"tract","Census Tract 9010.10, Prince William County, Virginia",2021,"median_drive_time_top5",40.3,"median"
"32",51013103200,"tract","Census Tract 1032, Arlington County, Virginia",2021,"mean_drive_time_top10",63.17,"mean"
"33",51685,"county","Manassas Park city, Virginia",2021,"median_drive_time_top10",49.1,"median"
"34",51153900100,"tract","Census Tract 9001, Prince William County, Virginia",2021,"mean_drive_time_top5",35.24,"mean"
"35",51059421600,"tract","Census Tract 4216, Fairfax County, Virginia",2021,"mean_drive_time_top5",39.78,"mean"
"36",51153901601,"tract","Census Tract 9016.01, Prince William County, Virginia",2021,"median_drive_time_top5",33.6,"median"
"37",51510200103,"tract","Census Tract 2001.03, Alexandria city, Virginia",2021,"median_drive_time_top5",25,"median"
"38",51059491601,"tract","Census Tract 4916.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",23.38,"mean"
"39",51013102901,"tract","Census Tract 1029.01, Arlington County, Virginia",2021,"median_drive_time_top10",57.35,"median"
"40",51153901008,"tract","Census Tract 9010.08, Prince William County, Virginia",2021,"mean_drive_time_top5",40.54,"mean"
"41",51510200103,"tract","Census Tract 2001.03, Alexandria city, Virginia",2021,"mean_drive_time_top10",61.13,"mean"
"42",51059450200,"tract","Census Tract 4502, Fairfax County, Virginia",2021,"median_drive_time_top10",52.5,"median"
"43",51059421600,"tract","Census Tract 4216, Fairfax County, Virginia",2021,"mean_drive_time_top10",67.05,"mean"
"44",51059430802,"tract","Census Tract 4308.02, Fairfax County, Virginia",2021,"median_drive_time_top10",49.9,"median"
"45",51059440701,"tract","Census Tract 4407.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",56.7,"mean"
"46",51059480902,"tract","Census Tract 4809.02, Fairfax County, Virginia",2021,"mean_drive_time_top5",23.88,"mean"
"47",51153901602,"tract","Census Tract 9016.02, Prince William County, Virginia",2021,"median_drive_time_top10",49.25,"median"
"48",51107611020,"tract","Census Tract 6110.20, Loudoun County, Virginia",2021,"median_drive_time_top5",29.3,"median"
"49",51107610703,"tract","Census Tract 6107.03, Loudoun County, Virginia",2021,"mean_drive_time_top10",79.19,"mean"
"50",51510200301,"tract","Census Tract 2003.01, Alexandria city, Virginia",2021,"mean_drive_time_top5",29.4,"mean"
"51",51013102802,"tract","Census Tract 1028.02, Arlington County, Virginia",2021,"median_drive_time_top5",24.4,"median"
"52",51059460800,"tract","Census Tract 4608, Fairfax County, Virginia",2021,"mean_drive_time_top10",59.9,"mean"
"53",51107611023,"tract","Census Tract 6110.23, Loudoun County, Virginia",2021,"median_drive_time_top10",59.35,"median"
"54",51059491704,"tract","Census Tract 4917.04, Fairfax County, Virginia",2021,"median_drive_time_top10",47.7,"median"
"55",51059430600,"tract","Census Tract 4306, Fairfax County, Virginia",2021,"mean_drive_time_top5",25.58,"mean"
