"","geoid","region_type","region_name","year","measure","value","measure_type"
"1",51510201802,"tract","Census Tract 2018.02, Alexandria city, Virginia",2021,"median_drive_time_top5",19.8,"median"
"2",51059480502,"tract","Census Tract 4805.02, Fairfax County, Virginia",2021,"median_drive_time_top10",19.7,"median"
"3",51107611016,"tract","Census Tract 6110.16, Loudoun County, Virginia",2021,"median_drive_time_top5",28.8,"median"
"4",51107611501,"tract","Census Tract 6115.01, Loudoun County, Virginia",2021,"mean_drive_time_top10",21.02,"mean"
"5",51683910202,"tract","Census Tract 9102.02, Manassas city, Virginia",2021,"median_drive_time_top10",36.2,"median"
"6",51059480902,"tract","Census Tract 4809.02, Fairfax County, Virginia",2021,"median_drive_time_top5",16.4,"median"
"7",51107610601,"tract","Census Tract 6106.01, Loudoun County, Virginia",2021,"median_drive_time_top5",39.1,"median"
"8",51059430801,"tract","Census Tract 4308.01, Fairfax County, Virginia",2021,"median_drive_time_top10",23.5,"median"
"9",51059490103,"tract","Census Tract 4901.03, Fairfax County, Virginia",2021,"mean_drive_time_top5",25.78,"mean"
"10",51013101602,"tract","Census Tract 1016.02, Arlington County, Virginia",2021,"median_drive_time_top10",16.6,"median"
"11",51059480401,"tract","Census Tract 4804.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",11.04,"mean"
"12",51059480203,"tract","Census Tract 4802.03, Fairfax County, Virginia",2021,"mean_drive_time_top5",6.32,"mean"
"13",51013103000,"tract","Census Tract 1030, Arlington County, Virginia",2021,"mean_drive_time_top5",15.82,"mean"
"14",51059491602,"tract","Census Tract 4916.02, Fairfax County, Virginia",2021,"median_drive_time_top10",23.1,"median"
"15",51685920200,"tract","Census Tract 9202, Manassas Park city, Virginia",2021,"mean_drive_time_top5",34.54,"mean"
"16",51685920100,"tract","Census Tract 9201, Manassas Park city, Virginia",2021,"median_drive_time_top10",32.3,"median"
"17",51059452400,"tract","Census Tract 4524, Fairfax County, Virginia",2021,"mean_drive_time_top5",16.34,"mean"
"18",51059420400,"tract","Census Tract 4204, Fairfax County, Virginia",2021,"median_drive_time_top10",21,"median"
"19",51059421900,"tract","Census Tract 4219, Fairfax County, Virginia",2021,"mean_drive_time_top10",23.8,"mean"
"20",51059422402,"tract","Census Tract 4224.02, Fairfax County, Virginia",2021,"median_drive_time_top5",23,"median"
"21",51013102702,"tract","Census Tract 1027.02, Arlington County, Virginia",2021,"median_drive_time_top5",13.8,"median"
"22",51013103501,"tract","Census Tract 1035.01, Arlington County, Virginia",2021,"median_drive_time_top5",15.1,"median"
"23",51013102200,"tract","Census Tract 1022, Arlington County, Virginia",2021,"mean_drive_time_top10",14.46,"mean"
"24",51013100600,"tract","Census Tract 1006, Arlington County, Virginia",2021,"median_drive_time_top5",15.7,"median"
"25",51107611004,"tract","Census Tract 6110.04, Loudoun County, Virginia",2021,"mean_drive_time_top10",27.84,"mean"
"26",51107611300,"tract","Census Tract 6113, Loudoun County, Virginia",2021,"mean_drive_time_top10",17.7,"mean"
"27",51059460702,"tract","Census Tract 4607.02, Fairfax County, Virginia",2021,"mean_drive_time_top5",11.84,"mean"
"28",51600300400,"tract","Census Tract 3004, Fairfax city, Virginia",2021,"median_drive_time_top5",19.3,"median"
"29",51059491301,"tract","Census Tract 4913.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",32.78,"mean"
"30",51013101603,"tract","Census Tract 1016.03, Arlington County, Virginia",2021,"mean_drive_time_top10",13.34,"mean"
"31",51059470100,"tract","Census Tract 4701, Fairfax County, Virginia",2021,"median_drive_time_top5",14.2,"median"
"32",51059460501,"tract","Census Tract 4605.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",7.54,"mean"
"33",51153901221,"tract","Census Tract 9012.21, Prince William County, Virginia",2021,"mean_drive_time_top5",32.38,"mean"
"34",51107611010,"tract","Census Tract 6110.10, Loudoun County, Virginia",2021,"median_drive_time_top10",31.3,"median"
"35",51059482002,"tract","Census Tract 4820.02, Fairfax County, Virginia",2021,"median_drive_time_top10",15.3,"median"
"36",51153901415,"tract","Census Tract 9014.15, Prince William County, Virginia",2021,"median_drive_time_top10",41.4,"median"
"37",51107611023,"tract","Census Tract 6110.23, Loudoun County, Virginia",2021,"median_drive_time_top10",27.8,"median"
"38",51153900203,"tract","Census Tract 9002.03, Prince William County, Virginia",2021,"mean_drive_time_top10",27.04,"mean"
"39",51059460502,"tract","Census Tract 4605.02, Fairfax County, Virginia",2021,"median_drive_time_top10",7.1,"median"
"40",51107611601,"tract","Census Tract 6116.01, Loudoun County, Virginia",2021,"mean_drive_time_top5",21.58,"mean"
"41",51013,"county","Arlington County, Virginia",2021,"median_drive_time_top5",15.4,"median"
"42",51107610202,"tract","Census Tract 6102.02, Loudoun County, Virginia",2021,"median_drive_time_top5",58.2,"median"
"43",51013100500,"tract","Census Tract 1005, Arlington County, Virginia",2021,"mean_drive_time_top10",13.48,"mean"
"44",51059491601,"tract","Census Tract 4916.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",24.3,"mean"
"45",51107610202,"tract","Census Tract 6102.02, Loudoun County, Virginia",2021,"median_drive_time_top10",58.2,"median"
"46",51059481103,"tract","Census Tract 4811.03, Fairfax County, Virginia",2021,"mean_drive_time_top5",16.44,"mean"
"47",51059421500,"tract","Census Tract 4215, Fairfax County, Virginia",2021,"mean_drive_time_top5",27.52,"mean"
"48",51153900502,"tract","Census Tract 9005.02, Prince William County, Virginia",2021,"mean_drive_time_top5",27.5,"mean"
"49",51013101602,"tract","Census Tract 1016.02, Arlington County, Virginia",2021,"mean_drive_time_top10",13.5,"mean"
"50",51683,"county","Manassas city, Virginia",2021,"mean_drive_time_top5",36.24,"mean"
"51",51059491401,"tract","Census Tract 4914.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",26.7,"mean"
"52",51153901212,"tract","Census Tract 9012.12, Prince William County, Virginia",2021,"mean_drive_time_top10",35.88,"mean"
"53",51059480402,"tract","Census Tract 4804.02, Fairfax County, Virginia",2021,"median_drive_time_top10",18,"median"
"54",51059480501,"tract","Census Tract 4805.01, Fairfax County, Virginia",2021,"median_drive_time_top5",16.5,"median"
"55",51059461901,"tract","Census Tract 4619.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",15.72,"mean"
"56",51510201300,"tract","Census Tract 2013, Alexandria city, Virginia",2021,"mean_drive_time_top10",20.78,"mean"
"57",51059461902,"tract","Census Tract 4619.02, Fairfax County, Virginia",2021,"median_drive_time_top5",13.9,"median"
"58",51107610505,"tract","Census Tract 6105.05, Loudoun County, Virginia",2021,"mean_drive_time_top10",32.96,"mean"
"59",51013102902,"tract","Census Tract 1029.02, Arlington County, Virginia",2021,"mean_drive_time_top10",16,"mean"
"60",51153900203,"tract","Census Tract 9002.03, Prince William County, Virginia",2021,"median_drive_time_top10",33.7,"median"
"61",51107611601,"tract","Census Tract 6116.01, Loudoun County, Virginia",2021,"mean_drive_time_top10",21.58,"mean"
"62",51107610505,"tract","Census Tract 6105.05, Loudoun County, Virginia",2021,"median_drive_time_top10",34.6,"median"
"63",51013100800,"tract","Census Tract 1008, Arlington County, Virginia",2021,"median_drive_time_top5",13.8,"median"
"64",51059421300,"tract","Census Tract 4213, Fairfax County, Virginia",2021,"mean_drive_time_top5",28.52,"mean"
"65",51059482400,"tract","Census Tract 4824, Fairfax County, Virginia",2021,"mean_drive_time_top5",10.12,"mean"
"66",51059482001,"tract","Census Tract 4820.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",12.36,"mean"
"67",51059490101,"tract","Census Tract 4901.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",27.66,"mean"
"68",51107,"county","Loudoun County, Virginia",2021,"mean_drive_time_top5",39.8,"mean"
"69",51153901507,"tract","Census Tract 9015.07, Prince William County, Virginia",2021,"mean_drive_time_top10",41.66,"mean"
"70",51059480202,"tract","Census Tract 4802.02, Fairfax County, Virginia",2021,"mean_drive_time_top10",7.58,"mean"
"71",51059480402,"tract","Census Tract 4804.02, Fairfax County, Virginia",2021,"mean_drive_time_top5",16.72,"mean"
"72",51059491302,"tract","Census Tract 4913.02, Fairfax County, Virginia",2021,"median_drive_time_top5",26.9,"median"
"73",51059460501,"tract","Census Tract 4605.01, Fairfax County, Virginia",2021,"median_drive_time_top10",5.7,"median"
"74",51153901900,"tract","Census Tract 9019, Prince William County, Virginia",2021,"mean_drive_time_top5",29.74,"mean"
"75",51059416100,"tract","Census Tract 4161, Fairfax County, Virginia",2021,"median_drive_time_top5",30.5,"median"
"76",51059421002,"tract","Census Tract 4210.02, Fairfax County, Virginia",2021,"median_drive_time_top10",23.1,"median"
"77",51107610900,"tract","Census Tract 6109, Loudoun County, Virginia",2021,"median_drive_time_top5",50.2,"median"
"78",51510200302,"tract","Census Tract 2003.02, Alexandria city, Virginia",2021,"median_drive_time_top10",15.7,"median"
"79",51683910201,"tract","Census Tract 9102.01, Manassas city, Virginia",2021,"median_drive_time_top10",35.6,"median"
"80",51059430500,"tract","Census Tract 4305, Fairfax County, Virginia",2021,"mean_drive_time_top10",17.22,"mean"
"81",51107611011,"tract","Census Tract 6110.11, Loudoun County, Virginia",2021,"median_drive_time_top10",30.1,"median"
"82",51153901208,"tract","Census Tract 9012.08, Prince William County, Virginia",2021,"median_drive_time_top5",34.8,"median"
"83",51059420502,"tract","Census Tract 4205.02, Fairfax County, Virginia",2021,"median_drive_time_top10",21.1,"median"
"84",51059422402,"tract","Census Tract 4224.02, Fairfax County, Virginia",2021,"mean_drive_time_top5",21,"mean"
"85",51059440501,"tract","Census Tract 4405.01, Fairfax County, Virginia",2021,"median_drive_time_top5",22.3,"median"
"86",51059420300,"tract","Census Tract 4203, Fairfax County, Virginia",2021,"median_drive_time_top10",22.9,"median"
"87",51153901403,"tract","Census Tract 9014.03, Prince William County, Virginia",2021,"median_drive_time_top10",35.2,"median"
"88",51059421600,"tract","Census Tract 4216, Fairfax County, Virginia",2021,"mean_drive_time_top10",27.66,"mean"
"89",51059471000,"tract","Census Tract 4710, Fairfax County, Virginia",2021,"median_drive_time_top10",8.8,"median"
"90",51107610201,"tract","Census Tract 6102.01, Loudoun County, Virginia",2021,"median_drive_time_top10",51.3,"median"
"91",51153901222,"tract","Census Tract 9012.22, Prince William County, Virginia",2021,"mean_drive_time_top5",33.52,"mean"
"92",51153901509,"tract","Census Tract 9015.09, Prince William County, Virginia",2021,"mean_drive_time_top10",48.38,"mean"
"93",51059481102,"tract","Census Tract 4811.02, Fairfax County, Virginia",2021,"mean_drive_time_top5",15.76,"mean"
"94",51059452301,"tract","Census Tract 4523.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",13.6,"mean"
"95",51153900905,"tract","Census Tract 9009.05, Prince William County, Virginia",2021,"median_drive_time_top5",47.8,"median"
"96",51013100900,"tract","Census Tract 1009, Arlington County, Virginia",2021,"median_drive_time_top5",13,"median"
"97",51059451501,"tract","Census Tract 4515.01, Fairfax County, Virginia",2021,"median_drive_time_top10",14.8,"median"
