"","geoid","region_name","year","value","region_type","measure","measure_type","measure_units"
"1",51013,"Arlington County, Virginia",2015,8.355218342,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"2",51013,"Arlington County, Virginia",2015,8.355218342,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"3",51013,"Arlington County, Virginia",2015,8.355218342,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"4",51013,"Arlington County, Virginia",2015,8.355218342,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"5",51013,"Arlington County, Virginia",2015,8.355218342,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"6",51013,"Arlington County, Virginia",2016,10.02091024,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"7",51013,"Arlington County, Virginia",2016,10.02091024,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"8",51013,"Arlington County, Virginia",2016,10.02091024,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"9",51013,"Arlington County, Virginia",2016,10.02091024,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"10",51013,"Arlington County, Virginia",2016,10.02091024,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"11",51013,"Arlington County, Virginia",2017,10.63452829,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"12",51013,"Arlington County, Virginia",2017,10.63452829,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"13",51013,"Arlington County, Virginia",2017,10.63452829,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"14",51013,"Arlington County, Virginia",2017,10.63452829,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"15",51013,"Arlington County, Virginia",2017,10.63452829,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"16",51013,"Arlington County, Virginia",2018,9.585381841,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"17",51013,"Arlington County, Virginia",2018,9.585381841,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"18",51013,"Arlington County, Virginia",2018,9.585381841,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"19",51013,"Arlington County, Virginia",2018,9.585381841,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"20",51013,"Arlington County, Virginia",2018,9.585381841,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"21",51013,"Arlington County, Virginia",2019,8.672431618,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"22",51013,"Arlington County, Virginia",2019,8.672431618,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"23",51013,"Arlington County, Virginia",2019,8.672431618,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"24",51013,"Arlington County, Virginia",2019,8.672431618,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"25",51013,"Arlington County, Virginia",2019,8.672431618,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"26",51059,"Fairfax County, Virginia",2015,9.934074243,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"27",51059,"Fairfax County, Virginia",2015,9.934074243,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"28",51059,"Fairfax County, Virginia",2015,9.934074243,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"29",51059,"Fairfax County, Virginia",2015,9.934074243,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"30",51059,"Fairfax County, Virginia",2015,9.934074243,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"31",51059,"Fairfax County, Virginia",2016,11.51857217,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"32",51059,"Fairfax County, Virginia",2016,11.51857217,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"33",51059,"Fairfax County, Virginia",2016,11.51857217,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"34",51059,"Fairfax County, Virginia",2016,11.51857217,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"35",51059,"Fairfax County, Virginia",2016,11.51857217,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"36",51059,"Fairfax County, Virginia",2017,10.73170104,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"37",51059,"Fairfax County, Virginia",2017,10.73170104,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"38",51059,"Fairfax County, Virginia",2017,10.73170104,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"39",51059,"Fairfax County, Virginia",2017,10.73170104,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"40",51059,"Fairfax County, Virginia",2017,10.73170104,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"41",51059,"Fairfax County, Virginia",2018,12.41139429,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"42",51059,"Fairfax County, Virginia",2018,12.41139429,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"43",51059,"Fairfax County, Virginia",2018,12.41139429,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"44",51059,"Fairfax County, Virginia",2018,12.41139429,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"45",51059,"Fairfax County, Virginia",2018,12.41139429,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"46",51059,"Fairfax County, Virginia",2019,12.48944144,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"47",51059,"Fairfax County, Virginia",2019,12.48944144,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"48",51059,"Fairfax County, Virginia",2019,12.48944144,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"49",51059,"Fairfax County, Virginia",2019,12.48944144,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"50",51059,"Fairfax County, Virginia",2019,12.48944144,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"51",51107,"Loudoun County, Virginia",2015,10.35181192,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"52",51107,"Loudoun County, Virginia",2015,10.35181192,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"53",51107,"Loudoun County, Virginia",2015,10.35181192,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"54",51107,"Loudoun County, Virginia",2015,10.35181192,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"55",51107,"Loudoun County, Virginia",2015,10.35181192,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"56",51107,"Loudoun County, Virginia",2016,12.21561339,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"57",51107,"Loudoun County, Virginia",2016,12.21561339,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"58",51107,"Loudoun County, Virginia",2016,12.21561339,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"59",51107,"Loudoun County, Virginia",2016,12.21561339,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"60",51107,"Loudoun County, Virginia",2016,12.21561339,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"61",51107,"Loudoun County, Virginia",2017,13.17206578,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"62",51107,"Loudoun County, Virginia",2017,13.17206578,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"63",51107,"Loudoun County, Virginia",2017,13.17206578,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"64",51107,"Loudoun County, Virginia",2017,13.17206578,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"65",51107,"Loudoun County, Virginia",2017,13.17206578,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"66",51107,"Loudoun County, Virginia",2018,11.3569587,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"67",51107,"Loudoun County, Virginia",2018,11.3569587,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"68",51107,"Loudoun County, Virginia",2018,11.3569587,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"69",51107,"Loudoun County, Virginia",2018,11.3569587,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"70",51107,"Loudoun County, Virginia",2018,11.3569587,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"71",51107,"Loudoun County, Virginia",2019,11.8623285,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"72",51107,"Loudoun County, Virginia",2019,11.8623285,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"73",51107,"Loudoun County, Virginia",2019,11.8623285,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"74",51107,"Loudoun County, Virginia",2019,11.8623285,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"75",51107,"Loudoun County, Virginia",2019,11.8623285,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"76",51153,"Prince William County, Virginia",2015,9.189460111,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"77",51153,"Prince William County, Virginia",2015,9.189460111,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"78",51153,"Prince William County, Virginia",2015,9.189460111,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"79",51153,"Prince William County, Virginia",2015,9.189460111,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"80",51153,"Prince William County, Virginia",2015,9.189460111,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"81",51153,"Prince William County, Virginia",2016,11.16648444,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"82",51153,"Prince William County, Virginia",2016,11.16648444,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"83",51153,"Prince William County, Virginia",2016,11.16648444,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"84",51153,"Prince William County, Virginia",2016,11.16648444,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"85",51153,"Prince William County, Virginia",2016,11.16648444,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"86",51153,"Prince William County, Virginia",2017,12.59122579,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"87",51153,"Prince William County, Virginia",2017,12.59122579,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"88",51153,"Prince William County, Virginia",2017,12.59122579,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"89",51153,"Prince William County, Virginia",2017,12.59122579,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"90",51153,"Prince William County, Virginia",2017,12.59122579,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"91",51153,"Prince William County, Virginia",2018,11.91603031,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"92",51153,"Prince William County, Virginia",2018,11.91603031,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"93",51153,"Prince William County, Virginia",2018,11.91603031,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"94",51153,"Prince William County, Virginia",2018,11.91603031,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"95",51153,"Prince William County, Virginia",2018,11.91603031,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"96",51153,"Prince William County, Virginia",2019,11.16765215,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"97",51153,"Prince William County, Virginia",2019,11.16765215,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
